,Period,F1 score_train,F1 score_test,Model,classifier
0,2039-2041,0.9841269841269842,0.8125,"{'C': 10.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",SVC
1,2036-2038,0.9379509379509378,1.0,"{'C': 1.0, 'degree': 2, 'gamma': 0.0001, 'kernel': 'linear'}",SVC
2,2033-2035,0.8924963924963926,0.875,"{'C': 1.0, 'degree': 2, 'gamma': 0.0001, 'kernel': 'linear'}",SVC
3,2030-2032,0.8427128427128427,0.8125,"{'C': 10.0, 'degree': 2, 'gamma': 1.0, 'kernel': 'rbf'}",SVC
4,2027-2029,0.7979797979797979,0.8125,"{'C': 1.0, 'degree': 2, 'gamma': 0.0001, 'kernel': 'linear'}",SVC
5,2024-2026,0.7041847041847041,0.5625,"{'C': 10.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",SVC
6,2021-2023,0.5786435786435785,0.6875,"{'C': 100.0, 'degree': 2, 'gamma': 1.0, 'kernel': 'rbf'}",SVC
7,2018-2020,0.5764790764790765,0.625,"{'C': 100.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",SVC
8,2015-2017,0.5901875901875901,0.5625,"{'C': 100.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",SVC
0,2039-2041,0.9362800941748309,0.7058823529411765,"{'max_depth': 1, 'min_samples_leaf': 2}",DT
1,2036-2038,0.8436647173489279,0.9411764705882353,"{'max_depth': 2, 'min_samples_leaf': 2}",DT
2,2033-2035,0.7706734867860187,0.8,"{'max_depth': 3, 'min_samples_leaf': 2}",DT
3,2030-2032,0.8165505991592948,0.7368421052631577,"{'max_depth': 2, 'min_samples_leaf': 6}",DT
4,2027-2029,0.663768115942029,0.6,"{'max_depth': 1, 'min_samples_leaf': 2}",DT
5,2024-2026,0.6072463768115942,0.7368421052631577,"{'max_depth': 2, 'min_samples_leaf': 6}",DT
6,2021-2023,0.4587301587301587,0.6666666666666667,"{'max_depth': 3, 'min_samples_leaf': 4}",DT
7,2018-2020,0.5539311241065626,0.6,"{'max_depth': 4, 'min_samples_leaf': 2}",DT
8,2015-2017,0.5016908212560387,0.15384615384615383,"{'max_depth': 5, 'min_samples_leaf': 6}",DT
0,2039-2041,0.9362800941748309,0.75,{'n_estimators': 50},RF
1,2036-2038,0.8841269841269841,0.9411764705882353,{'n_estimators': 500},RF
2,2033-2035,0.8091798122757875,0.9473684210526316,{'n_estimators': 10000},RF
3,2030-2032,0.8090909090909091,0.7777777777777778,{'n_estimators': 500},RF
4,2027-2029,0.7206349206349206,0.6666666666666667,{'n_estimators': 10000},RF
5,2024-2026,0.5594601476954418,0.5882352941176471,{'n_estimators': 50},RF
6,2021-2023,0.4510582010582011,0.6250000000000001,{'n_estimators': 1000},RF
7,2018-2020,0.49222222222222217,0.26666666666666666,{'n_estimators': 500},RF
8,2015-2017,0.5186880244088482,0.6250000000000001,{'n_estimators': 50},RF
