,Period,F1 score_train,F1 score_test,Model,classifier
0,2039-2041,0.9213564213564215,0.9375,"{'C': 10.0, 'degree': 2, 'gamma': 0.0001, 'kernel': 'linear'}",SVC
1,2036-2038,0.9696969696969697,0.875,"{'C': 100.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",SVC
2,2033-2035,0.937950937950938,0.8125,"{'C': 0.1, 'degree': 2, 'gamma': 0.0001, 'kernel': 'linear'}",SVC
3,2030-2032,0.8427128427128427,0.75,"{'C': 10.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}",SVC
4,2027-2029,0.7958152958152959,0.75,"{'C': 10.0, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}",SVC
5,2024-2026,0.7683982683982684,0.5625,"{'C': 100.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",SVC
6,2021-2023,0.7200577200577202,0.375,"{'C': 100.0, 'degree': 2, 'gamma': 1.0, 'kernel': 'rbf'}",SVC
7,2018-2020,0.5923520923520923,0.375,"{'C': 1.0, 'degree': 2, 'gamma': 1.0, 'kernel': 'rbf'}",SVC
8,2015-2017,0.5440115440115441,0.6875,"{'C': 100.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",SVC
0,2039-2041,0.8438271604938271,0.7999999999999999,"{'max_depth': 1, 'min_samples_leaf': 2}",DT
1,2036-2038,0.8622895622895622,0.7692307692307692,"{'max_depth': 2, 'min_samples_leaf': 4}",DT
2,2033-2035,0.8577879481311975,0.7999999999999999,"{'max_depth': 4, 'min_samples_leaf': 2}",DT
3,2030-2032,0.7831501831501831,0.6666666666666666,"{'max_depth': 50, 'min_samples_leaf': 2}",DT
4,2027-2029,0.672979797979798,0.6153846153846153,"{'max_depth': 10, 'min_samples_leaf': 2}",DT
5,2024-2026,0.7067581998474447,0.5,"{'max_depth': 4, 'min_samples_leaf': 2}",DT
6,2021-2023,0.6566666666666667,0.4444444444444444,"{'max_depth': 4, 'min_samples_leaf': 4}",DT
7,2018-2020,0.6165486280428808,0.5714285714285714,"{'max_depth': 2, 'min_samples_leaf': 6}",DT
8,2015-2017,0.532581453634085,0.6250000000000001,"{'max_depth': 10, 'min_samples_leaf': 2}",DT
0,2039-2041,0.8567251461988303,0.9333333333333333,{'n_estimators': 50},RF
1,2036-2038,0.9015873015873016,0.8750000000000001,{'n_estimators': 500},RF
2,2033-2035,0.8845029239766081,0.75,{'n_estimators': 500},RF
3,2030-2032,0.752280701754386,0.6250000000000001,{'n_estimators': 10},RF
4,2027-2029,0.6366459627329193,0.6666666666666666,{'n_estimators': 1000},RF
5,2024-2026,0.6111111111111112,0.588235294117647,{'n_estimators': 50},RF
6,2021-2023,0.6630591630591631,0.26666666666666666,{'n_estimators': 50},RF
7,2018-2020,0.6010101010101009,0.5,{'n_estimators': 50},RF
8,2015-2017,0.6142857142857143,0.5,{'n_estimators': 50},RF
